data,open,high,low,close,volume,adjusted,quart,quint,seg,sext,terc
2017-07-25,29.559999,30.65,29.559999,30.610001,11658200,28.355927,0,0,0,0,1
2017-07-26,30.9,30.9,29.65,29.66,10680100,27.475882,1,0,0,0,0
2017-07-27,29.66,30.209999,29.27,29.700001,5584000,27.512936,0,1,0,0,0
2017-07-28,29.530001,30.35,29.33,30.34,5155700,28.105806,0,0,0,1,0
2017-07-31,31.5,31.52,31.040001,31.299999,6300800,28.995113,0,0,1,0,0
2017-08-01,31.25,31.25,30.700001,31.059999,4329100,28.772789,0,0,0,0,1
2017-08-02,30.700001,31.27,30.540001,31.110001,6171300,28.819107,1,0,0,0,0
2017-08-03,31.139999,31.23,30.639999,30.68,5056500,28.420771,0,1,0,0,0
2017-08-04,30.959999,31.49,30.74,31.23,4577600,28.930269,0,0,0,1,0
2017-08-07,31.6,32.43,31.59,32.419998,7800300,30.032639,0,0,1,0,0
2017-08-08,32.09,32.619999,31.559999,32.049999,9706400,29.689884,0,0,0,0,1
2017-08-09,32,32.25,31.700001,31.92,7870700,29.56946,1,0,0,0,0
2017-08-10,31.790001,32.029999,31.389999,31.5,7393600,29.180387,0,1,0,0,0
2017-08-11,31.27,31.27,30.559999,30.799999,13613400,28.531935,0,0,0,1,0
2017-08-14,30.780001,31.469999,30.540001,31.299999,16902200,28.995113,0,0,1,0,0
2017-08-15,31.299999,31.450001,30.690001,31.120001,17847800,28.828369,0,0,0,0,1
2017-08-16,31.4,32.07,31.32,31.73,26011500,29.39345,1,0,0,0,0
2017-08-17,31.889999,32.040001,31.110001,31.200001,14095900,28.902477,0,1,0,0,0
2017-08-18,31.799999,32.049999,31.41,31.549999,24390300,29.226704,0,0,0,1,0
2017-08-21,31.99,32.240002,31.709999,31.75,19990400,29.411976,0,0,1,0,0
2017-08-22,32.349998,32.389999,31.709999,31.860001,19230300,29.513878,0,0,0,0,1
2017-08-23,31.74,32.549999,31.6,32.540001,15451900,30.143803,1,0,0,0,0
2017-08-24,32.560001,34,32.330002,33.880001,20534600,31.385128,0,1,0,0,0
2017-08-25,34.119999,34.330002,33.419998,33.830002,16366000,31.33881,0,0,0,1,0
2017-08-28,33.700001,34.490002,33.650002,34.360001,15021800,31.829782,0,0,1,0,0
2017-08-29,34,34.66,33.91,34.439999,15689600,31.903889,0,0,0,0,1
2017-08-30,34.5,34.709999,34.240002,34.34,14021600,31.811251,1,0,0,0,0
2017-08-31,34.919998,35.18,34.450001,35.080002,56429700,32.496765,0,1,0,0,0
2017-09-01,35.5,35.98,35.259998,35.669998,22554600,33.043312,0,0,0,1,0
2017-09-04,35.380001,36.189999,35.310001,36.099998,15002800,33.441647,0,0,1,0,0
2017-09-05,36.5,36.689999,35.18,35.599998,24227100,32.97847,0,0,0,0,1
2017-09-06,35.82,36.09,35.470001,35.799999,18117700,33.163742,1,0,0,0,0
2017-09-07,35.799999,35.799999,35.799999,35.799999,0,33.163742,0,1,0,0,0
2017-09-08,35.689999,36.110001,34.470001,34.48,23042000,31.940943,0,0,0,1,0
2017-09-11,34.799999,35.209999,34.73,35.09,19131800,32.506027,0,0,1,0,0
2017-09-12,35.369999,35.73,35.23,35.259998,16114100,32.663502,0,0,0,0,1
2017-09-13,35.049999,35.130001,34.389999,34.77,21951600,32.209587,1,0,0,0,0
2017-09-14,34,34.099998,33.349998,33.619999,24324600,31.144272,0,1,0,0,0
2017-09-15,33.360001,34.139999,33.299999,33.799999,34216900,31.311018,0,0,0,1,0
2017-09-18,33.810001,34.310001,33.779999,34.25,18617700,31.727882,0,0,1,0,0
2017-09-19,33.799999,33.990002,33.330002,33.919998,17106900,31.42218,0,0,0,0,1
2017-09-20,33.880001,34.150002,32.77,33.169998,24175400,30.727409,1,0,0,0,0
2017-09-21,32.650002,32.77,32.16,32.509998,26157600,30.116007,0,1,0,0,0
2017-09-22,32.150002,32.380001,31.85,31.91,16957700,29.560196,0,0,0,1,0
2017-09-25,31.799999,32.290001,31,31.09,21014300,28.800579,0,0,1,0,0
2017-09-26,31.469999,31.93,31.41,31.5,17114500,29.180387,0,0,0,0,1
2017-09-27,31.98,32.25,31.030001,31.93,26241300,29.578722,1,0,0,0,0
2017-09-28,31.51,31.85,31.280001,31.75,17561400,29.411976,0,1,0,0,0
2017-09-29,32.139999,32.400002,31.610001,31.870001,16047100,29.52314,0,0,0,1,0
2017-10-02,32.25,32.43,31.870001,31.9,13596900,29.550932,0,0,1,0,0
2017-10-03,32.09,32.68,31.76,32.68,23474600,30.273493,0,0,0,0,1
2017-10-04,32.880001,33.07,32.610001,32.610001,17562500,30.208649,1,0,0,0,0
2017-10-05,33,33.189999,32.240002,32.27,17253100,29.893684,0,1,0,0,0
2017-10-06,32.07,32.150002,31.83,32.139999,12450500,29.773258,0,0,0,1,0
2017-10-09,32.049999,32.099998,31.26,31.5,13520900,29.180387,0,0,1,0,0
2017-10-10,31.65,31.700001,30.940001,31.32,20181500,29.013639,0,0,0,0,1
2017-10-11,30.940001,31.49,30.73,31.1,23041300,28.809841,1,0,0,0,0
2017-10-12,31.1,31.1,31.1,31.1,0,28.809841,0,1,0,0,0
2017-10-13,32.099998,33.099998,32,32.91,31395900,30.486555,0,0,0,1,0
2017-10-16,33.380001,33.639999,32.830002,33.349998,35861900,30.894156,0,0,1,0,0
2017-10-17,33.110001,33.32,32.580002,32.580002,19842700,30.180861,0,0,0,0,1
2017-10-18,32.759998,32.950001,31.790001,32.27,21210600,29.893684,1,0,0,0,0
2017-10-19,31.75,33.07,31.709999,33,18549800,30.569929,0,1,0,0,0
2017-10-20,33.75,33.779999,32.950001,32.950001,24301000,30.523611,0,0,0,1,0
2017-10-23,33,33.200001,32.639999,32.709999,11948700,30.301283,0,0,1,0,0
2017-10-24,32.880001,33.830002,32.549999,33.830002,19996200,31.33881,0,0,0,0,1
2017-10-25,33.630001,33.860001,33.07,33.549999,16724100,31.079428,1,0,0,0,0
2017-10-26,33.869999,33.900002,32.669998,32.669998,25302400,30.264227,0,1,0,0,0
