data,abev3_sa_close,petr3_sa_close,vale3_sa_close
2017-05-12,19.690001,15.93,25.91
2017-05-15,19.74,16.190001,26.65
2017-05-16,19.82,16.190001,27.26
2017-05-17,19.639999,16.1,26.84
2017-05-18,18.799999,14.27,26.860001
2017-05-19,18.620001,14.41,27.25
2017-05-22,18.57,14.31,27.92
2017-05-23,18.889999,14.42,28.26
2017-05-24,18.860001,14.81,27.52
2017-05-25,18.92,14.46,27.700001
2017-05-26,19.030001,14.55,27.860001
2017-05-29,19.030001,14.55,27.860001
2017-05-30,18.790001,14.17,28.6
2017-05-31,18.709999,13.62,27.17
2017-06-01,18.549999,13.54,26.67
2017-06-02,18.57,13.74,26.780001
2017-06-05,18.91,13.98,26.49
2017-06-06,19.07,13.99,26.58
2017-06-07,18.84,13.68,26.450001
2017-06-08,18.530001,13.7,27.02
2017-06-09,18.110001,13.78,27.299999
2017-06-12,18.08,13.78,26.84
2017-06-13,18.389999,13.87,26.370001
2017-06-14,18.18,13.54,26.1
2017-06-15,18.18,13.54,26.1
2017-06-16,17.780001,13.49,25.559999
2017-06-19,17.870001,13.33,26.389999
2017-06-20,18.07,13.01,25.709999
2017-06-21,18.129999,12.78,26.469999
2017-06-22,18.200001,13.05,27.02
2017-06-23,18.24,12.89,27.24
2017-06-26,18.27,13.09,27.469999
2017-06-27,18.290001,12.99,27.92
2017-06-28,18.299999,12.88,28.790001
2017-06-29,18.25,13.01,28.9
2017-06-30,18.309999,13.2,29
2017-07-03,18.280001,13.28,29.65
2017-07-04,18.24,13.32,29.620001
2017-07-05,18.219999,13.06,28.93
2017-07-06,17.780001,12.93,28.92
2017-07-07,18.02,12.68,28.889999
2017-07-10,18.309999,12.7,29.709999
2017-07-11,18.52,13.07,30.040001
2017-07-12,18.65,13.58,29.9
2017-07-13,18.68,13.55,29.18
2017-07-14,18.75,13.62,29.52
2017-07-17,18.84,13.45,29.719999
2017-07-18,18.75,13.6,29.9
2017-07-19,18.82,13.84,29.9
2017-07-20,18.780001,13.63,28.719999
2017-07-21,18.809999,13.29,28.5
2017-07-24,18.82,13.43,29.129999
2017-07-25,18.879999,13.77,30.610001
2017-07-26,18.83,13.54,29.66
2017-07-27,19.110001,13.61,29.700001
2017-07-28,19.1,13.64,30.34
2017-07-31,19.15,13.8,31.299999
2017-08-01,19.24,13.68,31.059999
2017-08-02,19.4,14.03,31.110001
2017-08-03,19.26,13.82,30.68
2017-08-04,19.26,13.9,31.23
2017-08-07,19.35,14.02,32.419998
2017-08-08,19.389999,13.9,32.049999
2017-08-09,19.42,13.97,31.92
2017-08-10,19.4,13.62,31.5
2017-08-11,19.52,13.51,30.799999
2017-08-14,19.709999,13.6,31.299999
2017-08-15,19.780001,13.62,31.120001
2017-08-16,19.809999,13.58,31.73
2017-08-17,19.790001,13.6,31.200001
2017-08-18,19.76,14.04,31.549999
2017-08-21,19.74,13.8,31.75
2017-08-22,19.75,14.31,31.860001
2017-08-23,19.84,14.32,32.540001
2017-08-24,19.799999,14.4,33.880001
2017-08-25,19.85,14.48,33.830002
2017-08-28,19.85,14.4,34.360001
2017-08-29,19.9,14.3,34.439999
2017-08-30,19.879999,13.88,34.34
2017-08-31,19.860001,13.97,35.080002
2017-09-01,19.76,14.6,35.669998
2017-09-04,19.73,14.72,36.099998
2017-09-05,19.82,14.85,35.599998
2017-09-06,20.129999,15.5,35.799999
2017-09-07,20.129999,15.5,35.799999
2017-09-08,20.1,15.19,34.48
2017-09-11,20.26,15.52,35.09
2017-09-12,21.01,15.4,35.259998
2017-09-13,21.18,15.68,34.77
2017-09-14,21.190001,15.65,33.619999
2017-09-15,21.459999,15.58,33.799999
2017-09-18,21.200001,15.73,34.25
2017-09-19,21.4,15.78,33.919998
2017-09-20,21.48,16.379999,33.169998
2017-09-21,21.360001,16.18,32.509998
2017-09-22,21.52,16.200001,31.91
2017-09-25,21.5,16.32,31.09
